Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
12,US-2022-100003,06/24/2022,06/30/2022,Standard Class,CO-10056,Sam Wright,Consumer,United States,Cincinnati,Ohio,45201,Central,TEC-CO-79217406,Technology,Copiers,Canon Color Copier,34322.68,7,0.0,2724.2
13,US-2023-100004,01/03/2023,01/10/2023,Standard Class,CO-10987,Sean Parker,Corporate,United States,Madison,Wisconsin,53701,Central,OFF-ST-85656764,Office Supplies,Storage,Carina Desktop Organizer,391.14,1,0.1,2.53
14,US-2023-100004,01/03/2023,01/10/2023,Standard Class,CO-10987,Sean Parker,Corporate,United States,Madison,Wisconsin,53701,Central,TEC-CO-96743361,Technology,Copiers,Xerox WorkCentre,2826.08,1,0.0,-105.5
15,US-2023-100004,01/03/2023,01/10/2023,Standard Class,CO-10987,Sean Parker,Corporate,United States,Madison,Wisconsin,53701,Central,OFF-SU-48636252,Office Supplies,Supplies,BIC Round Stic Pens,1263.82,3,0.0,75.37
16,US-2023-100005,08/29/2023,09/01/2023,Second Class,CO-11986,Sam Jones,Corporate,United States,Stamford,Connecticut,06901,East,OFF-BI-61929747,Office Supplies,Binders,Cardinal Slant-D Binder,413.86,4,0.15,149.51
17,US-2023-100005,08/29/2023,09/01/2023,Second Class,CO-11986,Sam Jones,Corporate,United States,Stamford,Connecticut,06901,East,OFF-EN-96629054,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,389.71,1,0.15,58.74
18,US-2023-100005,08/29/2023,09/01/2023,Second Class,CO-11986,Sam Jones,Corporate,United States,Stamford,Connecticut,06901,East,FUR-CH-58439031,Furniture,Chairs,Global Troy Executive Chair,325.32,3,0.15,-7.47
19,US-2023-100005,08/29/2023,09/01/2023,Second Class,CO-11986,Sam Jones,Corporate,United States,Stamford,Connecticut,06901,East,FUR-CH-77009689,Furniture,Chairs,Novimex Swivel Chair,3346.29,4,0.3,-635.34
20,US-2023-100005,08/29/2023,09/01/2023,Second Class,CO-11986,Sam Jones,Corporate,United States,Stamford,Connecticut,06901,East,OFF-AP-44971274,Office Supplies,Appliances,Acco 7-Outlet Surge,296.26,5,0.1,113.55
21,US-2020-100006,05/20/2020,05/26/2020,Standard Class,CO-11296,Matt Martin,Consumer,United States,Milwaukee,Wisconsin,53201,Central,TEC-PH-57423958,Technology,Phones,Cisco SPA 501G Phone,7343.1,3,0.1,2149.33
22,US-2020-100006,05/20/2020,05/26/2020,Standard Class,CO-11296,Matt Martin,Consumer,United States,Milwaukee,Wisconsin,53201,Central,FUR-TA-12195690,Furniture,Tables,Balt Solid Wood Table,6571.43,4,0.15,1513.46
23,US-2022-100007,09/05/2022,09/08/2022,Second Class,HO-11215,Matt King,Home Office,United States,Miami,Florida,33101,South,OFF-FA-40999906,Office Supplies,Fasteners,Advantus Paper Clips,315.7,3,0.0,42.59
24,US-2021-100008,01/31/2021,02/06/2021,Standard Class,CO-11078,Aaron Carter,Consumer,United States,Houston,Texas,77001,Central,OFF-EN-74384099,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,1217.07,4,0.0,22.27
25,US-2022-100009,07/28/2022,08/03/2022,Standard Class,CO-10552,Jennifer Evans,Consumer,United States,Eugene,Oregon,97401,West,TEC-CO-55598220,Technology,Copiers,Sharp Digital Copier,789.47,1,0.0,-10.01
26,US-2023-100010,01/30/2023,02/05/2023,Standard Class,CO-10343,Tracy Lopez,Corporate,United States,Indianapolis,Indiana,46201,Central,TEC-MA-84948994,Technology,Machines,Brother Fax Machine,6698.26,2,0.1,-1293.12
27,US-2023-100010,01/30/2023,02/05/2023,Standard Class,CO-10343,Tracy Lopez,Corporate,United States,Indianapolis,Indiana,46201,Central,OFF-BI-91743035,Office Supplies,Binders,Avery Binder,762.78,2,0.0,63.79
28,US-2023-100010,01/30/2023,02/05/2023,Standard Class,CO-10343,Tracy Lopez,Corporate,United States,Indianapolis,Indiana,46201,Central,FUR-FU-67464779,Furniture,Furnishings,Howard Miller Clock,45.52,1,0.15,7.87
29,US-2021-100011,10/26/2021,10/30/2021,Second Class,HO-11559,Craig Turner,Home Office,United States,Provo,Utah,84601,West,OFF-PA-83581516,Office Supplies,Paper,Southworth Resume Paper,4660.52,11,0.0,1860.85
30,US-2023-100012,05/22/2023,05/29/2023,Standard Class,CO-10773,Hannah Wright,Corporate,United States,Charlotte,North Carolina,28201,East,TEC-AC-29975372,Technology,Accessories,Targus Backpack,13287.72,4,0.0,6251.25
31,US-2023-100012,05/22/2023,05/29/2023,Standard Class,CO-10773,Hannah Wright,Corporate,United States,Charlotte,North Carolina,28201,East,TEC-PH-66832433,Technology,Phones,Samsung Galaxy,13373.7,4,0.15,-755.79
32,US-2023-100012,05/22/2023,05/29/2023,Standard Class,CO-10773,Hannah Wright,Corporate,United States,Charlotte,North Carolina,28201,East,OFF-FA-24793752,Office Supplies,Fasteners,OIC Binder Clips,1447.85,5,0.0,514.8
33,US-2021-100013,05/05/2021,05/06/2021,First Class,CO-11055,Ed White,Consumer,United States,Gulfport,Mississippi,39501,South,OFF-AP-20736301,Office Supplies,Appliances,Hamilton Beach Toaster,74.5,1,0.0,19.78
34,US-2021-100013,05/05/2021,05/06/2021,First Class,CO-11055,Ed White,Consumer,United States,Gulfport,Mississippi,39501,South,OFF-EN-97763889,Office Supplies,Envelopes,#10 White Envelopes,761.57,2,0.0,323.31
35,US-2021-100013,05/05/2021,05/06/2021,First Class,CO-11055,Ed White,Consumer,United States,Gulfport,Mississippi,39501,South,TEC-AC-77042893,Technology,Accessories,Belkin USB Cable,9106.15,3,0.0,-764.69
36,US-2021-100013,05/05/2021,05/06/2021,First Class,CO-11055,Ed White,Consumer,United States,Gulfport,Mississippi,39501,South,OFF-LA-63440239,Office Supplies,Labels,Avery 510 Labels,3433.16,13,0.0,959.76
37,US-2021-100013,05/05/2021,05/06/2021,First Class,CO-11055,Ed White,Consumer,United States,Gulfport,Mississippi,39501,South,FUR-FU-11821367,Furniture,Furnishings,Artistic Wall Frame,7065.59,4,0.1,-326.31
38,US-2022-100014,05/19/2022,05/23/2022,Second Class,CO-11514,Dean Evans,Consumer,United States,Jackson,Mississippi,39201,South,TEC-PH-58494716,Technology,Phones,Plantronics Headset,60492.13,9,0.0,29285.18
39,US-2023-100015,10/07/2023,10/13/2023,Standard Class,CO-10533,Tim Collins,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,OFF-BI-59207388,Office Supplies,Binders,Avery Binder,21.12,3,0.0,2.71
40,US-2023-100015,10/07/2023,10/13/2023,Standard Class,CO-10533,Tim Collins,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,TEC-AC-73594452,Technology,Accessories,SanDisk USB Drive,1806.78,1,0.2,560.47
41,US-2023-100015,10/07/2023,10/13/2023,Standard Class,CO-10533,Tim Collins,Corporate,United States,Pittsburgh,Pennsylvania,15201,East,FUR-BO-62141506,Furniture,Bookcases,O'Sullivan Bookcase,102.3,7,0.3,4.66
42,US-2021-100016,08/27/2021,09/03/2021,Standard Class,HO-11247,Karen Perez,Home Office,United States,Louisville,Kentucky,40201,South,OFF-AR-67675376,Office Supplies,Art,Fiskars Scissors,249.3,2,0.1,111.24
43,US-2021-100016,08/27/2021,09/03/2021,Standard Class,HO-11247,Karen Perez,Home Office,United States,Louisville,Kentucky,40201,South,OFF-PA-50174673,Office Supplies,Paper,Easy-staple Paper,483.84,4,0.0,197.95
44,US-2022-100017,11/30/2022,12/06/2022,Standard Class,CO-11256,Victor Campbell,Consumer,United States,Salem,Oregon,97301,West,FUR-FU-36372008,Furniture,Furnishings,Dana Lighting Lamp,10544.51,9,0.0,865.02
45,US-2022-100017,11/30/2022,12/06/2022,Standard Class,CO-11256,Victor Campbell,Consumer,United States,Salem,Oregon,97301,West,OFF-AR-90807020,Office Supplies,Art,Fiskars Scissors,536.58,2,0.4,-113.35
46,US-2022-100017,11/30/2022,12/06/2022,Standard Class,CO-11256,Victor Campbell,Consumer,United States,Salem,Oregon,97301,West,OFF-BI-83788019,Office Supplies,Binders,Avery Binder,128.4,1,0.0,31.7
47,US-2022-100017,11/30/2022,12/06/2022,Standard Class,CO-11256,Victor Campbell,Consumer,United States,Salem,Oregon,97301,West,FUR-CH-98494554,Furniture,Chairs,Hon Deluxe Task Chair,1882.75,1,0.0,25.92
48,US-2022-100017,11/30/2022,12/06/2022,Standard Class,CO-11256,Victor Campbell,Consumer,United States,Salem,Oregon,97301,West,OFF-SU-44356387,Office Supplies,Supplies,Swingline Stapler,1388.85,4,0.1,35.83
49,US-2022-100017,11/30/2022,12/06/2022,Standard Class,CO-11256,Victor Campbell,Consumer,United States,Salem,Oregon,97301,West,TEC-MA-15250295,Technology,Machines,Epson TM Printer,13035.52,2,0.0,2381.46
50,US-2021-100018,07/19/2021,07/24/2021,Standard Class,CO-11767,Brian Green,Corporate,United States,Sacramento,California,95814,West,OFF-EN-60107906,Office Supplies,Envelopes,#10 White Envelopes,188.29,7,0.0,19.78
51,US-2021-100018,07/19/2021,07/24/2021,Standard Class,CO-11767,Brian Green,Corporate,United States,Sacramento,California,95814,West,OFF-BI-30080580,Office Supplies,Binders,GBC DocuBind Binder,1068.22,5,0.3,-305.76
52,US-2021-100018,07/19/2021,07/24/2021,Standard Class,CO-11767,Brian Green,Corporate,United States,Sacramento,California,95814,West,OFF-AP-79185062,Office Supplies,Appliances,Hoover Stove,381.48,1,0.0,9.46
53,US-2021-100018,07/19/2021,07/24/2021,Standard Class,CO-11767,Brian Green,Corporate,United States,Sacramento,California,95814,West,OFF-FA-26448425,Office Supplies,Fasteners,Acco Brass Fasteners,287.28,4,0.15,69.49
54,US-2021-100018,07/19/2021,07/24/2021,Standard Class,CO-11767,Brian Green,Corporate,United States,Sacramento,California,95814,West,TEC-AC-87138704,Technology,Accessories,Logitech Wireless Mouse,5311.53,3,0.15,1759.73
55,US-2021-100018,07/19/2021,07/24/2021,Standard Class,CO-11767,Brian Green,Corporate,United States,Sacramento,California,95814,West,FUR-BO-78028978,Furniture,Bookcases,Bush Somerset Bookcase,2987.51,2,0.2,385.04
56,US-2022-100019,10/03/2022,10/06/2022,Second Class,CO-10242,Sam Taylor,Corporate,United States,Las Vegas,Nevada,89101,West,OFF-ST-98670888,Office Supplies,Storage,Akro Stacking Bins,173.33,1,0.0,76.14
57,US-2022-100019,10/03/2022,10/06/2022,Second Class,CO-10242,Sam Taylor,Corporate,United States,Las Vegas,Nevada,89101,West,TEC-MA-45677259,Technology,Machines,Brother Fax Machine,12211.67,4,0.0,224.56
58,US-2022-100019,10/03/2022,10/06/2022,Second Class,CO-10242,Sam Taylor,Corporate,United States,Las Vegas,Nevada,89101,West,OFF-BI-50179601,Office Supplies,Binders,Cardinal Slant-D Binder,391.3,1,0.0,136.48
59,US-2022-100019,10/03/2022,10/06/2022,Second Class,CO-10242,Sam Taylor,Corporate,United States,Las Vegas,Nevada,89101,West,OFF-ST-26167670,Office Supplies,Storage,Carina Desktop Organizer,282.18,1,0.2,62.99
60,US-2020-100020,10/09/2020,10/14/2020,Standard Class,CO-10645,Nancy Mitchell,Consumer,United States,San Jose,California,95112,West,OFF-AR-44262607,Office Supplies,Art,Sanford Markers,432.78,1,0.0,45.4
61,US-2020-100020,10/09/2020,10/14/2020,Standard Class,CO-10645,Nancy Mitchell,Consumer,United States,San Jose,California,95112,West,OFF-SU-16508856,Office Supplies,Supplies,BIC Round Stic Pens,566.93,5,0.1,133.72
62,US-2020-100020,10/09/2020,10/14/2020,Standard Class,CO-10645,Nancy Mitchell,Consumer,United States,San Jose,California,95112,West,TEC-MA-62212945,Technology,Machines,Canon imageCLASS,1148.08,1,0.0,-213.71
63,US-2020-100020,10/09/2020,10/14/2020,Standard Class,CO-10645,Nancy Mitchell,Consumer,United States,San Jose,California,95112,West,OFF-PA-33216267,Office Supplies,Paper,Easy-staple Paper,427.61,3,0.15,65.11
64,US-2020-100020,10/09/2020,10/14/2020,Standard Class,CO-10645,Nancy Mitchell,Consumer,United States,San Jose,California,95112,West,FUR-TA-29363133,Furniture,Tables,Bretford CR4500 Table,612.23,1,0.1,-74.18
65,US-2020-100020,10/09/2020,10/14/2020,Standard Class,CO-10645,Nancy Mitchell,Consumer,United States,San Jose,California,95112,West,FUR-TA-67121056,Furniture,Tables,Bevis Round Table,4858.3,4,0.1,-342.04
66,US-2021-100021,02/07/2021,02/13/2021,Standard Class,CO-10875,Craig Wilson,Consumer,United States,Fort Wayne,Indiana,46801,Central,TEC-CO-64187581,Technology,Copiers,HP Designjet Plotter,2274.77,3,0.4,-496.76
67,US-2021-100021,02/07/2021,02/13/2021,Standard Class,CO-10875,Craig Wilson,Consumer,United States,Fort Wayne,Indiana,46801,Central,OFF-BI-82759216,Office Supplies,Binders,GBC DocuBind Binder,398.82,2,0.0,21.0
68,US-2021-100021,02/07/2021,02/13/2021,Standard Class,CO-10875,Craig Wilson,Consumer,United States,Fort Wayne,Indiana,46801,Central,OFF-ST-88839575,Office Supplies,Storage,Rogers File Cart,1743.48,4,0.1,-20.07
69,US-2021-100021,02/07/2021,02/13/2021,Standard Class,CO-10875,Craig Wilson,Consumer,United States,Fort Wayne,Indiana,46801,Central,FUR-CH-78894682,Furniture,Chairs,HON 5400 Series Chair,2795.36,2,0.0,-316.33
70,US-2021-100021,02/07/2021,02/13/2021,Standard Class,CO-10875,Craig Wilson,Consumer,United States,Fort Wayne,Indiana,46801,Central,OFF-PA-79974933,Office Supplies,Paper,HP Office Paper,1135.76,10,0.1,344.49
71,US-2021-100021,02/07/2021,02/13/2021,Standard Class,CO-10875,Craig Wilson,Consumer,United States,Fort Wayne,Indiana,46801,Central,OFF-AP-26828923,Office Supplies,Appliances,Hoover Stove,87.87,1,0.0,15.34
72,US-2022-100022,06/09/2022,06/13/2022,Second Class,CO-10388,Mike Clark,Consumer,United States,Portland,Oregon,97201,West,OFF-LA-55584684,Office Supplies,Labels,Avery 510 Labels,381.89,3,0.0,163.75
73,US-2022-100022,06/09/2022,06/13/2022,Second Class,CO-10388,Mike Clark,Consumer,United States,Portland,Oregon,97201,West,OFF-EN-44974352,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,1115.01,3,0.0,440.46
74,US-2022-100022,06/09/2022,06/13/2022,Second Class,CO-10388,Mike Clark,Consumer,United States,Portland,Oregon,97201,West,FUR-BO-85460974,Furniture,Bookcases,Hon Metal Bookcase,1496.2,2,0.15,-219.01
75,US-2022-100023,11/30/2022,12/05/2022,Standard Class,HO-10782,Steve Hill,Home Office,United States,Portland,Oregon,97201,West,FUR-TA-69036718,Furniture,Tables,Bevis Round Table,724.82,1,0.0,-86.36
76,US-2023-100024,08/30/2023,09/05/2023,Standard Class,CO-10671,Diana Smith,Corporate,United States,Harrisburg,Pennsylvania,17101,East,OFF-ST-18825150,Office Supplies,Storage,Akro Stacking Bins,272.54,3,0.1,87.61
77,US-2023-100024,08/30/2023,09/05/2023,Standard Class,CO-10671,Diana Smith,Corporate,United States,Harrisburg,Pennsylvania,17101,East,OFF-SU-99088493,Office Supplies,Supplies,BIC Round Stic Pens,828.83,2,0.1,181.65
78,US-2021-100025,07/02/2021,07/06/2021,Second Class,HO-10849,Jack Carter,Home Office,United States,Tampa,Florida,33601,South,OFF-EN-31670307,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,186.28,3,0.15,29.75
79,US-2021-100025,07/02/2021,07/06/2021,Second Class,HO-10849,Jack Carter,Home Office,United States,Tampa,Florida,33601,South,OFF-AP-95023491,Office Supplies,Appliances,Acco 7-Outlet Surge,613.23,3,0.0,-21.98
80,US-2021-100025,07/02/2021,07/06/2021,Second Class,HO-10849,Jack Carter,Home Office,United States,Tampa,Florida,33601,South,FUR-BO-24693325,Furniture,Bookcases,O'Sullivan Bookcase,580.57,1,0.3,-97.31
81,US-2021-100025,07/02/2021,07/06/2021,Second Class,HO-10849,Jack Carter,Home Office,United States,Tampa,Florida,33601,South,OFF-PA-38735942,Office Supplies,Paper,HP Office Paper,1653.67,4,0.0,583.62
82,US-2020-100026,11/07/2020,11/12/2020,Standard Class,CO-10351,Kate Jones,Consumer,United States,Aurora,Colorado,80010,West,OFF-BI-77073772,Office Supplies,Binders,GBC DocuBind Binder,548.38,2,0.4,-131.89
83,US-2020-100026,11/07/2020,11/12/2020,Standard Class,CO-10351,Kate Jones,Consumer,United States,Aurora,Colorado,80010,West,OFF-FA-36237808,Office Supplies,Fasteners,Advantus Paper Clips,177.28,1,0.1,35.73
84,US-2020-100027,03/27/2020,03/28/2020,First Class,CO-11438,Carol Walker,Consumer,United States,New Haven,Connecticut,06501,East,OFF-EN-27675548,Office Supplies,Envelopes,#10 White Envelopes,525.65,3,0.15,74.85
85,US-2020-100027,03/27/2020,03/28/2020,First Class,CO-11438,Carol Walker,Consumer,United States,New Haven,Connecticut,06501,East,OFF-LA-18556135,Office Supplies,Labels,Avery Round Labels,1358.7,6,0.15,133.69
86,US-2021-100028,02/19/2021,02/21/2021,First Class,HO-11687,Tony Davis,Home Office,United States,San Diego,California,92101,West,OFF-AR-92568904,Office Supplies,Art,Sanford Markers,156.19,1,0.0,11.22
87,US-2021-100029,02/15/2021,02/22/2021,Standard Class,CO-10659,Kate Fisher,Consumer,United States,Provo,Utah,84601,West,OFF-LA-48353225,Office Supplies,Labels,Avery Round Labels,754.09,2,0.0,85.8
88,US-2021-100029,02/15/2021,02/22/2021,Standard Class,CO-10659,Kate Fisher,Consumer,United States,Provo,Utah,84601,West,OFF-LA-15386159,Office Supplies,Labels,Avery Address Labels,3137.55,9,0.0,1306.99
89,US-2021-100029,02/15/2021,02/22/2021,Standard Class,CO-10659,Kate Fisher,Consumer,United States,Provo,Utah,84601,West,OFF-SU-62762640,Office Supplies,Supplies,Avery Hole Punch,137.58,1,0.3,-23.59
90,US-2020-100030,09/07/2020,09/14/2020,Standard Class,CO-10757,Frank Jackson,Consumer,United States,San Diego,California,92101,West,OFF-AP-51985096,Office Supplies,Appliances,Eureka Disposable Bags,1003.73,3,0.2,373.05
91,US-2020-100030,09/07/2020,09/14/2020,Standard Class,CO-10757,Frank Jackson,Consumer,United States,San Diego,California,92101,West,OFF-AR-11406150,Office Supplies,Art,Newell Pens,222.09,3,0.2,86.9
92,US-2020-100030,09/07/2020,09/14/2020,Standard Class,CO-10757,Frank Jackson,Consumer,United States,San Diego,California,92101,West,OFF-PA-76607761,Office Supplies,Paper,Xerox Copy Paper,717.73,7,0.0,278.96
93,US-2020-100030,09/07/2020,09/14/2020,Standard Class,CO-10757,Frank Jackson,Consumer,United States,San Diego,California,92101,West,OFF-AP-27943886,Office Supplies,Appliances,Eureka Disposable Bags,324.51,1,0.0,44.7
94,US-2020-100030,09/07/2020,09/14/2020,Standard Class,CO-10757,Frank Jackson,Consumer,United States,San Diego,California,92101,West,OFF-BI-59768169,Office Supplies,Binders,Acco Pressboard Covers,221.67,2,0.0,30.21
95,US-2022-100031,04/22/2022,04/25/2022,Second Class,CO-10588,Aaron Garcia,Consumer,United States,Ann Arbor,Michigan,48104,Central,OFF-ST-32821211,Office Supplies,Storage,Fellowes Bankers Box,194.36,4,0.0,-4.99
96,US-2022-100031,04/22/2022,04/25/2022,Second Class,CO-10588,Aaron Garcia,Consumer,United States,Ann Arbor,Michigan,48104,Central,OFF-AP-82079673,Office Supplies,Appliances,Belkin Surge Protector,1504.49,5,0.2,314.44
97,US-2022-100031,04/22/2022,04/25/2022,Second Class,CO-10588,Aaron Garcia,Consumer,United States,Ann Arbor,Michigan,48104,Central,FUR-BO-59908282,Furniture,Bookcases,O'Sullivan Bookcase,284.24,1,0.3,2.47
98,US-2022-100031,04/22/2022,04/25/2022,Second Class,CO-10588,Aaron Garcia,Consumer,United States,Ann Arbor,Michigan,48104,Central,OFF-AR-70678947,Office Supplies,Art,Dixon Prang Crayons,1383.54,6,0.15,143.13
99,US-2022-100031,04/22/2022,04/25/2022,Second Class,CO-10588,Aaron Garcia,Consumer,United States,Ann Arbor,Michigan,48104,Central,OFF-EN-35861356,Office Supplies,Envelopes,Manila Clasp Envelopes,149.1,1,0.3,-47.03
100,US-2022-100032,05/07/2022,05/13/2022,Standard Class,CO-11663,Ben Fisher,Consumer,United States,Harrisburg,Pennsylvania,17101,East,OFF-EN-70395758,Office Supplies,Envelopes,#10 White Envelopes,1497.47,4,0.0,321.0
101,US-2022-100032,05/07/2022,05/13/2022,Standard Class,CO-11663,Ben Fisher,Consumer,United States,Harrisburg,Pennsylvania,17101,East,TEC-PH-16671203,Technology,Phones,AT&T CL2909 Phone,1918.24,5,0.15,719.63
102,US-2022-100032,05/07/2022,05/13/2022,Standard Class,CO-11663,Ben Fisher,Consumer,United States,Harrisburg,Pennsylvania,17101,East,OFF-FA-33443415,Office Supplies,Fasteners,OIC Binder Clips,349.78,1,0.0,58.12
103,US-2022-100032,05/07/2022,05/13/2022,Standard Class,CO-11663,Ben Fisher,Consumer,United States,Harrisburg,Pennsylvania,17101,East,FUR-TA-27977748,Furniture,Tables,Balt Solid Wood Table,10408.65,7,0.1,2011.45
104,US-2021-100033,03/30/2021,03/30/2021,Same Day,CO-11851,Nick Williams,Consumer,United States,Raleigh,North Carolina,27601,East,TEC-MA-70998837,Technology,Machines,Brother Fax Machine,21667.75,4,0.2,9364.06
105,US-2021-100033,03/30/2021,03/30/2021,Same Day,CO-11851,Nick Williams,Consumer,United States,Raleigh,North Carolina,27601,East,TEC-MA-71303241,Technology,Machines,Epson TM Printer,2939.51,1,0.1,37.69
106,US-2021-100033,03/30/2021,03/30/2021,Same Day,CO-11851,Nick Williams,Consumer,United States,Raleigh,North Carolina,27601,East,OFF-AR-81772618,Office Supplies,Art,Sanford Markers,705.75,2,0.1,75.08
107,US-2021-100033,03/30/2021,03/30/2021,Same Day,CO-11851,Nick Williams,Consumer,United States,Raleigh,North Carolina,27601,East,OFF-AR-90137648,Office Supplies,Art,Boston School Scissors,81.72,5,0.2,21.23
108,US-2023-100034,02/22/2023,02/27/2023,Standard Class,HO-10766,Greg Collins,Home Office,United States,Birmingham,Alabama,35201,South,OFF-AR-95364161,Office Supplies,Art,Fiskars Scissors,780.9,4,0.0,194.0
109,US-2023-100035,04/29/2023,05/06/2023,Standard Class,CO-11693,Ralph Parker,Corporate,United States,Gulfport,Mississippi,39501,South,OFF-EN-20444453,Office Supplies,Envelopes,#10 White Envelopes,82.86,3,0.0,23.81
110,US-2023-100035,04/29/2023,05/06/2023,Standard Class,CO-11693,Ralph Parker,Corporate,United States,Gulfport,Mississippi,39501,South,OFF-ST-57704340,Office Supplies,Storage,Akro Stacking Bins,101.31,4,0.1,44.29
111,US-2022-100036,12/23/2022,12/24/2022,First Class,HO-10674,Amy Perez,Home Office,United States,Portland,Oregon,97201,West,OFF-EN-59437614,Office Supplies,Envelopes,Tyvek Side-Opening Envelopes,1423.27,3,0.0,416.59
112,US-2023-100037,08/12/2023,08/14/2023,First Class,CO-10902,Phil White,Consumer,United States,Provo,Utah,84601,West,OFF-ST-85495233,Office Supplies,Storage,Carina Desktop Organizer,2102.49,8,0.1,267.99
113,US-2023-100037,08/12/2023,08/14/2023,First Class,CO-10902,Phil White,Consumer,United States,Provo,Utah,84601,West,FUR-FU-83380135,Furniture,Furnishings,Dana Lighting Lamp,1649.73,1,0.1,-84.94
114,US-2023-100037,08/12/2023,08/14/2023,First Class,CO-10902,Phil White,Consumer,United States,Provo,Utah,84601,West,OFF-FA-41941562,Office Supplies,Fasteners,Advantus Paper Clips,589.82,7,0.15,55.01
115,US-2023-100037,08/12/2023,08/14/2023,First Class,CO-10902,Phil White,Consumer,United States,Provo,Utah,84601,West,OFF-AR-25942096,Office Supplies,Art,Fiskars Scissors,1460.15,3,0.0,545.65
116,US-2023-100037,08/12/2023,08/14/2023,First Class,CO-10902,Phil White,Consumer,United States,Provo,Utah,84601,West,FUR-FU-29398374,Furniture,Furnishings,Tenex File Cart,1447.21,2,0.1,299.22
117,US-2020-100038,12/29/2020,01/05/2021,Standard Class,CO-11126,Paul Hill,Consumer,United States,Harrisburg,Pennsylvania,17101,East,OFF-BI-28583426,Office Supplies,Binders,Acco Pressboard Covers,1006.14,12,0.0,-45.93
118,US-2020-100038,12/29/2020,01/05/2021,Standard Class,CO-11126,Paul Hill,Consumer,United States,Harrisburg,Pennsylvania,17101,East,FUR-TA-69081565,Furniture,Tables,Balt Solid Wood Table,1656.7,1,0.0,-14.12
119,US-2023-100039,01/14/2023,01/16/2023,First Class,CO-10287,Sam Collins,Corporate,United States,Tucson,Arizona,85701,West,TEC-MA-82216606,Technology,Machines,Hewlett Packard LaserJet,6317.16,2,0.2,-656.96
120,US-2023-100039,01/14/2023,01/16/2023,First Class,CO-10287,Sam Collins,Corporate,United States,Tucson,Arizona,85701,West,OFF-SU-23490091,Office Supplies,Supplies,BIC Round Stic Pens,488.86,2,0.0,87.89
